#u	0.0433
姼	2.75
姿	-0.75
威	-0.29
娃	-1.80
娄	0.04
娆	3.98
娇	-0.44
娈	-1.57
娌	-1.57
娗	3.09
娘	0.20
娜	-0.75
娟	0.89
娠	-2.52
娥	-0.21
娩	-0.91
娱	-0.41
娲	0.04
娴	-1.57
娶	0.75
娼	0.11
婆	0.04
婉	-0.17
婊	1.68
婚	-0.64
婢	-0.34
婪	-1.69
婴	0.57
婵	0.04
婶	0.32
婷	-0.80
婺	0.04
婿	0.53
媌	3.06
媒	-0.26
媚	-1.84
媛	0.04
媠	2.70
媬	-0.47
媳	-4.07
媵	2.51
媾	0.04
嫁	0.07
嫂	0.16
嫉	-2.79
嫌	0.02
嫖	-0.53
嫡	-3.39
嫣	1.14
嫦	-0.47
嫩	-2.24
嫰	-1.57
嬉	-0.27
嬭	1.99
嬴	1.39
嬷	-2.52
孀	1.14
子	-1.48
孑	-0.49
孓	-3.00
孔	0.62
孕	-0.85
字	0.50
存	0.02
孙	0.24
孚	-1.57
孜	1.54
孝	0.69
孟	-1.19
孢	-0.47
季	-0.39
孤	0.87
孥	0.04
学	-0.03
孩	-2.51
孪	-2.35
孬	-1.57
孰	-0.47
孱	-2.90
孵	0.53
孺	0.04
孽	1.20
宁	-0.25
它	-1.06
宅	-0.05
宇	-0.47
守	-0.44
安	-0.18
宋	1.18
完	-0.60
宏	-0.76
宕	-0.10
宗	-0.62
官	0.09
宙	0.89
定	0.22
宛	-0.05
宜	-1.03
宝	-0.12
实	-0.07
宠	0.16
审	0.07
客	-0.04
宣	-0.13
室	-0.43
宦	-0.29
宪	0.04
宫	-0.16
宰	-0.76
害	-0.15
宴	-0.45
宵	-0.47
家	0.13
宸	-1.06
容	-0.71
宽	-0.78
宾	-0.41
宿	-0.62
寂	0.58
寄	0.50
寅	0.04
密	-0.27
寇	-0.41
富	-0.52
寐	-0.23
寒	-0.14
寓	-0.50
寝	-0.48
寞	-0.96
察	-0.26
寡	-0.64
寥	-1.96
寨	0.04
寮	0.70
寸	-0.39
对	0.31
寺	-0.35
寻	-1.55
导	-0.47
寿	0.32
封	-0.15
射	-0.03
将	-0.21
尉	0.24
尊	-0.41
小	-0.95
少	-0.50
尔	-0.69
尖	0.02
尘	-0.95
尚	-0.15
尝	-2.09
尤	-1.15
尧	0.29
尪	5.39
尬	-2.66
就	-0.09
尴	-2.35
尸	0.08
尹	0.04
尺	0.27
尻	4.31
尼	-0.52
尽	0.03
尾	1.35
尿	0.49
局	0.08
屁	-0.77
层	0.04
屄	3.54
居	-0.84
屈	0.18
屉	-0.03
届	-0.42
屋	-1.80
屌	-2.35
屎	2.05
屏	0.01
屐	0.14
屑	0.29
展	0.63
屘	2.38
属	-0.11
屠	-0.68
屡	-1.71
履	-0.17
屭	0.04
屯	-0.08
山	0.21
屹	-0.47
屿	0.10
岁	0.49
岂	-0.39
岌	-0.41
岐	-0.54
岑	1.65
岔	-2.29
岖	-1.90
岗	-1.20
岚	-0.54
岛	-0.04
岩	0.10
岫	2.14
岬	-2.90
岭	0.52
岱	0.04
岳	-0.83
岸	0.33
峇	2.20
峙	-1.06
峡	-0.62
峦	0.04
峭	0.04
峰	-0.74
峻	-0.58
崁	2.04
崇	0.04
崎	1.44
崔	0.38
崖	-2.24
崛	-1.57
崧	0.04
崩	0.30
崭	1.01
崴	0.04
崽	-0.90
嵁	1.65
嵊	0.04
嵌	-0.47
嵩	1.65
嵬	-1.57
嶋	0.04
巅	-0.80
巉	1.99
巍	-2.52
川	1.62
州	-0.03
巡	0.73
巢	-1.27
工	0.32
左	-1.48
巧	-0.04
巨	-0.90
巩	0.66
巫	-1.70
差	-0.11
己	0.52
已	-0.94
巳	0.04
巴	-1.22
巷	0.34
巾	0.20
币	-0.85
市	0.18
布	-0.04
帅	-1.26
帆	0.51
师	0.21
希	-0.03
帐	-2.70
帑	-1.06
帔	0.04
帕	1.63
帖	0.36
帘	0.11
帚	0.22
帛	0.98
帜	-0.54
帝	0.21
带	-0.12
席	-0.09
帮	-0.31
帷	0.04
常	-0.80
帼	0.04
帽	-0.05
幅	-0.47
幌	0.41
幔	1.81
幕	-0.38
幛	-0.80
幡	0.63
幢	0.29
干	-0.71
平	-0.14
年	-0.12
并	0.02
幸	-0.52
幻	0.75
幼	1.28
幽	-0.39
广	-0.22
庀	2.79
庄	0.25
庆	-0.09
庇	-0.20
床	0.10
序	0.25
庐	-0.54
库	-0.02
应	0.13
底	0.59
店	0.51
庙	-0.08
庚	-0.05
府	-0.05
庞	-1.57
废	-0.60
度	-0.02
座	-0.25
庭	-0.66
庵	0.93
庶	-0.23
康	-0.59
庸	-1.09
廉	0.37
廊	-0.26
廍	1.65
廓	-0.54
廖	-0.29
延	-0.50
廷	-0.10
建	-0.04
廿	1.65
开	0.02
异	-0.71
弃	-1.08
弄	0.50
弊	-0.22
式	-0.49
弓	0.91
引	-0.25
弗	0.55
弘	0.04
弛	-1.06
弟	-0.33
张	-0.57
弥	-0.44
弦	-0.31
弧	-0.29
弭	0.04
弯	-0.05
弱	-1.33
弹	-0.73
强	-0.31
归	0.55
当	-0.25
录	-0.04
彗	-1.99
形	-0.22
彤	-1.26
彦	-0.47
彩	0.60
彪	1.27
彬	-0.29
彭	0.04
彰	0.04
影	0.47
彳	0.04
彷	-1.06
役	-0.39
彻	-0.78
彼	1.33
往	-0.15
征	-0.44
径	-1.00
待	-0.55
徇	-2.15
很	-5.54
徉	-1.57
徊	-0.75
律	-0.05
徐	-0.72
徒	-1.20
得	-0.41
徘	-0.75
徙	1.87
徛	3.64
徜	-1.57
御	0.04
徨	-0.47
循	0.04
徬	-0.47
微	-0.12
德	-0.06
徼	2.24
徽	-0.16
心	-0.02
必	-0.63
忆	-0.16
忌	-0.39
忍	-0.22
忏	0.63
忐	-2.35
忑	-2.35
志	0.36
忘	-0.95
忙	-3.10
忝	2.20
忠	0.13
忡	-1.57
忤	0.38
忧	-0.31
忪	-2.15
快	-0.66
忱	-2.15
忳	1.34
念	0.35
忸	-1.57
忽	-0.83
忿	-0.41
怀	-0.78
态	-0.63
怂	-1.23
怅	-0.75
怎	-0.15
怏	2.24
怐	2.75
怒	-2.27
怔	-1.90
怕	-3.28
怖	0.04
怙	2.44
怜	-0.77
思	-0.29
怠	-1.48
怡	-0.47
怢	2.88
急	-1.08
怦	0.38
性	-0.03
怨	0.02
怩	-1.57
怪	0.15
怫	1.99
怯	-1.64
怳	2.44
总	0.51
恁	4.25
恂	3.48
恃	-1.90
恋	-0.51
恍	-0.96
恐	-0.83
恒	-0.58
恕	-0.59
恙	-0.58
恢	-0.29
恤	-0.26
恨	-0.16
恩	-0.18
恫	-0.80
恬	3.80
恭	-0.52
息	-1.10
恰	-2.79
恳	-0.50
恶	-0.59
恸	-1.06
恹	0.04
恺	0.04
恻	-0.47
恼	0.14
恿	-0.26
悄	-1.63
悉	-1.19
悍	-2.90
悒	0.04
悔	-0.59
悖	0.04
悚	-2.66
悟	-0.19
悠	-1.00
患	-0.83
悦	-1.29
您	-2.35
悬	0.10
悭	-1.57
悯	0.04
悲	-0.62
悴	-1.06
悸	-2.90
悻	-2.15
悼	-0.75
悾	4.39
悿	2.75
情	-0.20
惊	0.88
惑	-0.63
惕	-2.66
惘	-0.91
惚	-2.41
惜	0.37
惝	1.28
惟	-1.57
惠	-0.79
惦	-2.15
惧	0.10
惨	0.06
惩	-0.80
惫	-1.42
惬	0.29
惭	-1.51
惮	1.14
惯	0.24
惰	-1.11
想	0.35
惶	0.91
惹	-0.12
惺	-4.19
愁	-1.10
愈	-0.30
愉	-2.08
愍	1.65
愎	-1.26
意	-0.25
愕	0.98
愚	-1.27
感	-0.11
愠	0.04
愣	0.41
愤	-1.24
愧	-0.85
愿	0.04
慇	0.04
慈	0.09
慌	-2.35
慎	-0.09
慑	2.56
慒	3.71
慕	-0.51
慢	-0.25
慧	-0.75
慨	-0.79
慰	-0.27
慷	-0.31
憋	0.26
憎	-2.66
憔	-1.57
憢	3.18
憨	0.10
憩	-0.47
憾	0.04
懂	-1.32
懈	-2.35
懊	0.95
懒	-0.49
懔	2.44
懦	-1.17
懮	-1.18
懵	0.31
戆	4.12
戈	-0.98
戊	0.04
戌	-0.29
戎	0.89
戏	-0.26
成	-0.18
我	-0.12
戒	-0.41
戕	1.53
或	-2.24
战	-0.05
戚	0.95
戛	4.25
戟	-0.47
戡	0.04
戥	0.35
